onset	duration	trial_type	stim_id
9.5	0.5	Instruction	9
12	1	Obs_err	9
16.5	0.5	Instruction	1
19	1	Obs_corr	1
22.5	0.5	Instruction	16
26	1	Obs_corr	16
30	3	Catch_trial	16
33.5	0.5	Instruction	7
35	1	Obs_corr	7
37.5	0.5	Instruction	2
39	1	Obs_corr	2
42.5	0.5	Instruction	13
45	1	Obs_corr	13
48.5	0.5	Instruction	6
50	1	Obs_err	6
53.5	0.5	Instruction	11
56	1	Obs_corr	11
60.5	0.5	Instruction	5
62	1	Obs_corr	5
65.5	0.5	Instruction	10
67	1	Obs_corr	10
70.5	0.5	Instruction	14
73	1	Obs_corr	14
75.5	0.5	Instruction	12
77	1	Obs_corr	12
80.5	0.5	Instruction	15
84	1	Obs_corr	15
88.5	0.5	Instruction	4
91	1	Obs_corr	4
93.5	0.5	Instruction	3
97	1	Obs_corr	3
100.5	0.5	Instruction	8
104	1	Obs_err	8
117.5	0.5	Instruction	16
120	1	Obs_corr	16
124.5	0.5	Instruction	12
128	1	Obs_err	12
132.5	0.5	Instruction	4
135	1	Obs_corr	4
137	3	Catch_trial	4
140.5	0.5	Instruction	6
143	1	Obs_corr	6
146.5	0.5	Instruction	8
150	1	Obs_corr	8
152	3	Catch_trial	8
155.5	0.5	Instruction	9
159	1	Obs_corr	9
161.5	0.5	Instruction	3
163	1	Obs_corr	3
166.5	0.5	Instruction	1
168	1	Obs_corr	1
172	3	Catch_trial	1
182.5	0.5	Instruction	5
185	1	Obs_err	5
187	3	Catch_trial	5
190.5	0.5	Instruction	10
192	1	Obs_err	10
196.5	0.5	Instruction	14
199	1	Obs_corr	14
203.5	0.5	Instruction	7
207	1	Obs_corr	7
209.5	0.5	Instruction	13
213	1	Obs_corr	13
215.5	0.5	Instruction	15
218	1	Obs_err	15
222.5	0.5	Instruction	11
224	1	Obs_corr	11
226.5	0.5	Instruction	2
230	1	Obs_corr	2
234.5	0.5	Instruction	9
236	1	Obs_corr	9
251.5	0.5	Instruction	4
253	1	Obs_err	4
256.5	0.5	Instruction	12
258	1	Obs_corr	12
261.5	0.5	Instruction	3
265	1	Obs_err	3
269.5	0.5	Instruction	15
272	1	Obs_corr	15
274.5	0.5	Instruction	10
278	1	Obs_corr	10
282.5	0.5	Instruction	1
286	1	Obs_err	1
290	3	Catch_trial	1
293.5	0.5	Instruction	11
297	1	Obs_err	11
299.5	0.5	Instruction	7
302	1	Obs_err	7
305.5	0.5	Instruction	6
309	1	Obs_corr	6
311.5	0.5	Instruction	8
313	1	Obs_corr	8
315	3	Catch_trial	8
318.5	0.5	Instruction	2
320	1	Obs_err	2
324.5	0.5	Instruction	5
328	1	Obs_corr	5
331.5	0.5	Instruction	13
334	1	Obs_err	13
336.5	0.5	Instruction	16
339	1	Obs_err	16
342.5	0.5	Instruction	14
344	1	Obs_err	14
346	3	Catch_trial	14
175	7	Change_rule	0
107	10	Baseline	0
240	11	Baseline	0
349	12	Baseline	0
